reviewid,artist,title,score,author
22703,massive attack,mezzanine,9.3,nate patrin
22721,krallice,prelapsarian,7.9,zoe camp
22659,uranium club,all of them naturals,7.3,david glickman
22661,"kleenex, liliput",first songs,9.0,jenn pelly
22725,taso,new start,8.1,kevin lozano
22722,various artists,insecure (music from the hbo original series),7.4,vanessa okoth-obbo
22704,little simz,stillness in wonderland,7.1,katherine st. asaph
22694,yotam avni,tehillim,7.0,andy beta
22714,brian eno,reflection,7.7,andy beta
22724,the lox,filthy america its beautiful,5.3,ian cohen
22715,harry bertoia,clear sounds/perfetta,8.0,marc masters
22745,run the jewels,run the jewels 3,8.6,sheldon pearce
22700,steven warwick,nadir,7.6,thea ballard
22720,yasiin bey,december 99th,3.5,marcus j. moore
22699,"smoke dza, pete rock",don't smoke rock,7.4,dean van nguyen
22665,various artists,punk45: les punks: the french connection (the first wave of french punk 1977-80),6.6,louis pattison
22666,senyawa,brnshj (puncak),7.4,philip sherburne
22719,"chance the rapper, jeremih",merry christmas lil mama,8.1,sheldon pearce
22667,jamire williams,///// effectual,7.2,benjamin scheim
22691,the-dream,love you to death,7.0,rebecca haithcoat
22702,worm ouroboros,what graceless dawn,7.5,sam sodomsky
22718,nine inch nails,not the actual events ep,6.3,benjamin scheim
22706,elder ones,holy science,7.8,seth colter walls
22695,the microphones,"early tapes, 1996-1998",6.5,benjamin scheim
22713,ben frost,the wasp factory,7.3,brian howe
22705,kacey musgraves,a very kacey christmas,6.8,marc hogan
22532,jay som,turn into,8.2,quinn moreland
22701,rashad becker,traditional music of notional species vol. ii,6.8,andy beta
22707,ray charles,swiss radio days vol. 41 - zurich 1961,9.0,seth colter-walls
22708,ab-soul,do what thou wilt.,4.4,sheldon pearce
22559,pantera,the great southern trendkill,7.7,savy reyes-kulkarni
22692,gucci mane,the return of east atlanta santa,7.6,renato pagnani
22677,mica levi,jackie ost,7.1,kevin lozano
22469,kid cudi,"passion, pain & demon slayin",6.7,matthew strauss
22711,sammus,pieces in space,7.2,sheldon pearce
22678,hodgy,fireplace: thenottheotherside,5.0,matthew strauss
22664,jeff parker,slight freedom,8.0,philip sherburne
22685,a-trak,in the loop: a decade of remixes,6.4,andy beta
22690,jess williamson,heart song,7.7,benjamin scheim
22689,kevin abstract,american boyfriend: a suburban love story,6.4,david turner
22697,adr,throat,7.1,thea ballard
22681,deadmau5,w:/2016album/,5.9,philip sherburne
22698,jessy lanza,oh no no no remixes ep,6.5,vanessa okoth-obbo
22684,peter broderick,grunewald,6.7,benjamin scheim
22693,qasim naqvi,chronology,7.5,seth colter walls
22686,post malone,stoney,4.5,matthew ramirez
22643,bob dylan,bob dylan: the 1966 live recordings,9.3,jesse jarnow
22640,"ricardo villalobos, umho",melo de melo ep,7.0,andrew gaerig
22688,peder mannerfelt,equality now ep,7.1,louis pattison
22696,j. cole,4 your eyez only,6.7,paul a. thompson
22663,pink floyd,the early years 1965-1972,8.8,jesse jarnow
22687,flume,skin companion ep i,6.6,nathan reese
22662,gaye su akyol,hologram mparatorluu,7.4,andy beta
22317,jeff buckley,sketches for my sweetheart the drunk,8.0,ryan dombal
22673,various artists,the hamilton mixtape,4.8,jayson greene
22655,saba,bucket list project,7.0,sheldon pearce
22593,various artists,bobo yy: belle poque in upper volta,8.4,andy beta
22627,simian mobile disco,welcome to sideways,6.8,cameron cook
22555,gas,box,9.5,andy beta
22682,kodie shane,zero gravity ep,7.8,sheldon pearce
22679,the orchestra of syrian musicians,africa express presents... the orchestra of syrian musicians & guests,8.0,kevin lozano
22657,blessed initiative,blessed initiative,7.5,saby reyes-kulkarni
22654,neil young,peace trail,6.7,sam sodomsky
22631,soundgarden,badmotorfinger,8.3,saby reyes-kulkarni
22683,nick hook,relationships,7.0,mehan jayasuriya
22635,kjartan sveinsson,der klang der offenbarung des gttlichen,7.8,ben scheim
22653,the rolling stones,blue & lonesome,6.9,stuart berman
22672,"gucci mane, lil uzi vert",1017 vs. the world,6.8,israel daramola
22536,young male,how to disappear in america,7.4,philip sherburne
22676,alex izenberg,harlequin,6.3,evan rytlewski
22671,childish gambino,"awaken, my love",7.2,matthew strauss
22675,fetty wap,zoovier,6.4,sheldon pearce
22680,miranda lambert,the weight of these wings,7.8,sam sodomsky
22641,denitia and sene,love and noir.,6.6,andy beta
22645,john legend,darkness and light,7.0,marcus j. moore
