index,reviewid,artist,title,score,author
0,4044,icarus,six soviet misfits,5.4,andrew bryant
1,10072,kings of leon,because of the times,5.4,roque strew
2,16069,summer camp,welcome to condale,5.4,larry fitzmaurice
3,18914,broken bells,after the disco,5.4,larry fitzmaurice
4,20204,jessica lea mayfield seth avett,seth avett and jessica lea mayfield sing elliott smith,5.4,stephen m. deusner
5,17539,spaceghostpurrp,bmw,5.4,corban goble
6,20740,slim twig,thank you for stickin with twig,5.4,laura snapes
7,19488,matthewdavid,in my world,5.4,larry fitzmaurice
8,11785,metal urbain,anarchy in paris,5.4,david raposa
9,9029,the charlatans,simpatico,5.4,stuart berman
10,22610,emeli sand,long live the angels,5.4,katherine st. asaph
11,1651,cracker,forever,5.4,rob mitchum
12,11154,matt costa,unfamiliar faces,5.4,ian cohen
13,11964,8ball mjg,we are the south greatest hits,5.4,tom breihan
14,705,tortoise bonnie prince billy,the brave and the bold,5.4,amanda petrusich
15,3147,foo fighters,one by one,5.4,eric carr
16,4271,joan of arc,joan of arc dick cheney mark twain,5.3,david moore
17,14851,former ghosts,new love,5.3,david raposa
18,4618,labradford,e luxo so,5.3,mark richard-san
19,9938,the red crayola,soldier talk,5.3,douglas wolk
20,3929,hot hot heat,elevator,5.3,rob mitchum
21,18136,grim tower,anarchic breezes,5.3,paul thompson
22,12540,ghostface killah,ghostdeini the great,5.3,nate patrin
23,15412,seapony,go with me,5.3,martin douglas
24,2855,everything but the girl,temperamental,5.3,ryan schreiber
25,14945,sheek louch,donnie g don gorilla,5.3,ian cohen
26,1539,coldplay,parachutes,5.3,spencer owen
27,11453,madonna,hard candy,5.3,tom ewing
28,13001,steve earle,townes,5.3,stephen m. deusner
29,22451,phish,big boat,5.3,sam sodomsky
30,17299,freeway,diamond in the ruff,5.3,jayson greene
31,7972,jimi tenor,out of nowhere,5.3,s. murray
32,4770,the libertines,i get along,5.3,eric carr
33,10849,of montreal,if he is protecting our nation then who will protect big oil our children,5.3,matt lemay
34,15492,patrick wolf,lupercalia,5.3,ian cohen
35,10787,the glass,couples therapy,5.3,liz colville
36,7388,spaceheads,low pressure,5.3,rob mitchum
37,7042,the sea and cake,glass,5.3,amanda petrusich
38,9156,the court and spark,hearts,5.3,david raposa
39,8300,tenement halls,knitting needles and bicycle bells,5.3,jason crock
40,9415,as tall as lions,as tall as lions,5.3,john motley
41,17141,turbo fruits,butter,5.3,evan minsker
42,8858,yoshimi and yuka,flower with no color,5.3,andy beta
43,22724,the lox,filthy america its beautiful,5.3,ian cohen
44,9016,blight,detroit the dream is dead the collected works of a midwest hardcore noise band 1982,5.3,cory byrom
45,5949,of montreal,if he is protecting our nation then who will protect big oil our children,5.3,matt lemay
46,11823,set fire to flames,telegraphs in negative   mouths trapped in static,5.3,andrew bryant
47,20233,gang of four,what happens next,5.3,stuart berman
48,11274,we are scientists,brain thrust mastery,5.3,ian cohen
49,12165,the donkeys,living on the other side,5.3,stephen m. deusner
50,3760,hasidic new wave and yakar rhythms,from the belly of abraham,5.3,dominique leone
51,1523,cocteau twins,bbc sessions,5.3,kristin sage rockermann
52,9223,don caballero,world class listening problem,5.3,matt lemay
53,8000,they might be giants,the spine,5.3,liam singer
54,10737,the simpsons,testify,5.3,joshua love
55,7893,various artists,music from the oc mix 4,5.3,rob mitchum
56,12461,anathallo,canopy glow,5.3,ian cohen
57,19812,254,the other i,5.3,ian cohen
58,9910,the zincs,black pompadour,5.3,marc hogan
59,10415,james brown,the singles volume three 1964 1965,5.3,douglas wolk
60,22344,clipping,splendor and misery,5.3,mehan jayasuriya
61,20373,ludacris,ludaversal,5.3,rawiya kameir
62,22197,dj snake,encore,5.3,matthew schnipper
63,22331,the beach boys,becoming the beach boys the complete hite and dorinda morgan sessions,5.3,stacey anderson
64,13107,deer tick,born on flag day,5.3,joshua love
65,16666,scissor sisters,magic hour,5.3,matthew perpetua
66,14127,daedelus,righteous fists of harmony,5.3,larry fitzmaurice
67,15980,the king khan experience,scion a v presents the king khan experience,5.3,evan minsker
68,8981,big star,in space,5.3,stephen m. deusner
69,10422,they might be giants,the else,5.3,rob mitchum
70,15970,she and him,a very she and him christmas,5.3,rob harvilla
71,19757,field report,marigolden,5.3,stephen m. deusner
72,1376,central falls,latitude,5.3,chris dahlen
73,13888,the brunettes,paper dolls,5.3,matthew perpetua
74,16157,camron dj drama vado,boss of all bosses 3,5.3,jordan sargent
75,17810,sound city real to reel,sound city real to reel,5.3,stuart berman
76,6379,robert pollard,kid marine,5.3,ryan schreiber
77,15186,devotchka,100 lovers,5.3,david bevan
78,10441,garbage,absolute garbage,5.3,adam moerder
79,1154,the bravery,the bravery,5.3,adam moerder
80,15472,various artists,mmg presents self made vol 1,5.3,tom breihan
81,13046,zombi,spirit animal,5.3,paul thompson
82,15099,the streets,computers and blues,5.3,tom breihan
83,15148,discodeine,discodeine,5.3,joshua love
84,13928,clem snide,the meat of life,5.3,zach kelly
85,5833,ogurusu norihide,modern,5.3,dominique leone
86,11622,prefuse 73,preparations,5.3,ryan dombal
87,12087,the occasional keepers,true north,5.3,marc hogan
88,15217,leika,space on tuesday,5.3,david raposa
89,14650,the moondoggies,tidelands,5.3,joshua love
90,21940,the underachievers,it happened in flatbush,5.3,matthew ramirez
91,8513,vaz,dying to meet you,5.3,brandon stosuy
92,8940,zero 7,simple things,5.3,rob mitchum
93,14039,various artists,greenberg,5.3,rob mitchum
94,13766,lowell brams,music for insomnia,5.3,rob mitchum
95,15060,death,spiritual mental physical,5.3,aaron leitko
96,14590,drivan,disko,5.3,brian howe
97,12930,mr lif,i heard it today,5.3,jayson greene
98,10565,robbers on high street,grand animals,5.3,stephen m. deusner
99,19289,yuck,southern skies,5.3,ian cohen
100,22099,gone is gone,gone is gone,5.3,stuart berman
101,15816,pink skull,psychic welfare,5.3,douglas wolk
102,15966,justice,audio video disco,5.3,andrew gaerig
103,12517,ludacris,theater of the mind,5.3,ian cohen
104,22318,oasis,be here now,5.3,laura snapes
105,10472,the lovetones,axiom,5.3,adam moerder
106,6462,preston school of industry,all this sounds gas,5.3,ryan schreiber
107,14243,band of horses,infinite arms,5.3,paul thompson
108,9291,say hi to your mom,impeccable blahs,5.3,brian howe
109,13681,guided by voices,suitcase 3 up we go now,5.3,paul thompson
110,14309,devin the dude,suite 420,5.3,tom breihan
111,9172,murder by death,in bocca al lupo,5.3,zach baron
112,12160,the gutter twins,adorata,5.3,joshua klein
113,13328,riceboy sleeps,riceboy sleeps,5.3,ian cohen
114,11506,the sword,gods of the earth,5.3,robbie mackey
115,8123,town and country,5,5.3,chris dahlen
116,12926,silversun pickups,swoon,5.3,ian cohen
117,7622,superdrag,in the valley of dying stars,5.3,steven byrd
