index,reviewid,artist,title,score,author
5,17539,spaceghostpurrp,bmw,5.4,corban goble
8,11785,metal urbain,anarchy in paris,5.4,david raposa
14,705,tortoise bonnie prince billy,the brave and the bold,5.4,amanda petrusich
19,9938,the red crayola,soldier talk,5.3,douglas wolk
32,4770,the libertines,i get along,5.3,eric carr
50,3760,hasidic new wave and yakar rhythms,from the belly of abraham,5.3,dominique leone
51,1523,cocteau twins,bbc sessions,5.3,kristin sage rockermann
67,15980,the king khan experience,scion a v presents the king khan experience,5.3,evan minsker
68,8981,big star,in space,5.3,stephen m. deusner
74,16157,camron dj drama vado,boss of all bosses 3,5.3,jordan sargent
88,15217,leika,space on tuesday,5.3,david raposa
112,12160,the gutter twins,adorata,5.3,joshua klein
113,13328,riceboy sleeps,riceboy sleeps,5.3,ian cohen
120,3809,hellacopters,grande rock,5.3,steven byrd
141,6032,orbital,the altogether,5.2,christopher dare
156,4225,jazzanova,remixes 1997 2000,5.2,paul cooper
163,9568,this american life,stories of hope and fear,5.2,chris dahlen
175,2593,die monitr batss,girls of war,5.2,adam moerder
179,3463,glass candy,love love love,5.2,brandon stosuy
195,10609,map of africa,map of africa,5.2,mark pytlik
199,5331,mirah black cat orchestra,to all we stretch the open arm,5.2,sam ubl
201,4696,last days of may,inner system blues,5.2,dominique leone
211,12920,d rider,mother of curses,5.2,joshua klein
227,1114,arthur brown,fire the arthur brown story,5.2,matt lemay
228,12317,various artists,nick and norahs infinite playlist,5.2,paul thompson
232,12459,black moth super rainbow,drippers,5.2,joe colly
235,16346,bodyguard,silica gel,5.2,nick neyland
239,21928,post malone,august 26th,5.2,sheldon pearce
240,11459,hymns,travel in herds,5.2,jessica suarez
245,13310,psychedelic horseshit,golden oldies,5.2,paul thompson
247,12580,larkin grimm,parplar,5.2,amy granzin
251,1004,buffalo daughter,wxbd,5.2,mark richard-san
266,2368,dj me dj you,rainbows and robots,5.1,mark richard-san
280,15241,derrick carter,fabric 56,5.1,andrew gaerig
288,7346,sonic youth,demonlover,5.1,rob mitchum
290,12366,glorytellers,glorytellers,5.1,david raposa
296,12610,glass candy,deep gems,5.1,marc hogan
304,12072,cajun dance party,the colourful life,5.1,marc hogan
308,18561,lil wayne,dedication 5,5.1,corban goble
329,7816,sunset rubdown,snakes got a leg,5.1,rob mitchum
346,13659,molina and johnson,molina and johnson,5.1,stephen m. deusner
363,19704,the rosebuds,sand  silence,5.1,stephen m. deusner
374,4488,kleenex girl wonder,the smith album,5.0,matt lemay
385,7335,songs ohia,howler,5.0,ryan kearney
407,8522,valley of the giants,westworld,5.0,sam ubl
428,19647,willis earl beal,experiments in time,5.0,stuart berman
430,7232,slackjaw,darkest hour,5.0,alison fields
434,7670,rob swift,wargames,5.0,jamin warren
442,89,mitchell akiyama,hope that lines dont cross,5.0,christopher dare
443,4389,karera musication,koroshiya ichi,5.0,dominique leone
445,14106,the bundles,the bundles,5.0,paul thompson
464,10247,night canopy,of honey and country,5.0,adam moerder
475,15989,weird wives,some motherfuckers gonna be walking round with a size 9 diehard up their ass,5.0,ian cohen
484,805,blonde redhead,melodie citronique,5.0,s. murray
496,4754,lesser,c64 massive sidplay party mix cd,5.0,mark martelli
499,139,aluminium group,pelo,5.0,john dark
509,5339,mix master mike,bangzilla,5.0,peter macia
513,20735,creepoid,cemetery highrise slum,5.0,zoe camp
527,17435,von,satanic blood,5.0,grayson currin
529,17457,charli xcx,super ultra,5.0,miles raymer
530,17159,lil wayne,dedication 4,5.0,jayson greene
550,10986,polysics,polysics or die vista,5.0,adam moerder
551,21235,pope francis,wake up,5.0,jia tolentino
567,11737,earth,living in the gleam of an unsheathed sword,4.9,austin gaines
573,14155,we are the world,clay stones,4.9,joshua love
578,7873,soundtrack,run lola run,4.9,sarah zupko
580,13833,underworld vs the misterons,athens,4.9,andrew gaerig
581,13821,kanye west,vh1 storytellers,4.9,scott plagenhoef
583,8324,ziq kazumi,the fear,4.9,ryan schreiber
586,17070,aap mob,lords never worry,4.9,jordan sargent
607,1400,charity empressa,charity empressa,4.9,joe tangari
608,11790,nurse with wound,salt marie celeste,4.9,alexander lloyd linhardt
613,18138,rivers cuomo scott murphy,scott and rivers,4.9,ian cohen
620,7930,tangerine dream,journey through a burning brain,4.9,dominique leone
631,6182,andy partridge,fuzzy warbles volumes 3 and 4,4.9,dominique leone
632,1124,a band of bees,free the bees,4.9,marc hogan
657,10409,the smashing pumpkins,zeitgeist,4.9,rob mitchum
681,11075,hello blue roses,the portrait is finished and i have failed to capture your beauty,4.8,marc hogan
686,2258,gene defcon,throw up and die,4.8,brian howe
696,1770,tom carter,monument,4.8,catherine lewis
713,13716,hall and oates,do what you want be what you are the music of daryl hall and john oates,4.8,douglas wolk
723,10098,the bark haze,total joke era   lp,4.8,grayson currin
729,16418,s/s/s,beak and claw,4.8,jayson greene
730,16186,lupe fiasco,friend of the people,4.8,jayson greene
