index,reviewid,artist,title,score,author
18,13425,the beatles,stereo box,10.0,mark richardson
42,22374,public image ltd,metal box,10.0,simon reynolds
77,3089,funkadelic,motor city madness the ultimate funkadelic compilation,9.8,dominique leone
102,4014,billie holiday,the ultimate collection,9.6,mark richardson
114,13443,the beatles,rock band,9.5,chris dahlen
126,2039,various artists,goodbye babylon,9.5,andrew bryant
134,7791,slowdive,catch the breeze,9.5,nitsuh abebe
135,8763,scott walker,5 easy pieces,9.5,scott plagenhoef
142,1271,can,box music,9.5,brent s. sirota
146,16160,neutral milk hotel,box set,9.5,mark richardson
148,10161,sly and the family stone,the collection,9.5,jess harvell
159,8347,underworld,king of snake eps,9.5,paul cooper
165,16810,roxy music,the complete studio records 1972 1982,9.5,tom ewing
169,9616,joanna newsom,ys,9.4,chris dahlen
183,7151,sigur ros,Ágaetis byrjun,9.4,brent dicrescenzo
192,7089,shalabi effect,the trial of st orange,9.4,david m. pecoraro
225,2978,the fall,the complete peel sessions 1978 2004,9.3,joe tangari
226,803,olivia block,mobius fuse,9.3,david m. pecoraro
231,11813,the red krayola,the parable of arable land,9.3,alex linhardt
270,13960,joanna newsom,have one on me,9.2,mark richardson
271,9134,gram parsons,the reprise sessions,9.2,stephen m. deusner
272,22283,manuel gttsching,e2 e4,9.2,mark richardson
287,1242,califone,califone,9.2,mark richard-san
294,19860,sleater kinney,start together,9.2,jenn pelly
299,12516,nina simone,to be free the nina simone story,9.2,chris dahlen
308,9900,various artists,ultimate breaks and beats the complete collection,9.2,nate patrin
325,22043,de la soul,buhloone mindstate,9.1,andrew nosnitsky
362,1408,rhys chatham,an angel moves too fast to see selected works 1971 1989,9.1,andy beta
368,17726,my bloody valentine,m b v,9.1,mark richardson
401,11894,various artists,how low can you go,9.0,amanda petrusich
404,10313,the clash,the singles,9.0,amanda petrusich
406,5575,mission of burma,a gun to the head a selection from the ace of hearts era,9.0,brian howe
407,6106,optimo,how to kill the dj,9.0,mark richardson
409,6397,polysics,hey bob my friend,9.0,brent s. sirota
411,2522,dexys midnight runners,lets make this precious the best of dexys midnight runners,9.0,scott plagenhoef
414,1582,tony conrad faust,outside the dream syndicate,9.0,brent s. sirota
418,20545,various artists,frankie knuckles house masters,9.0,david drake
