index,reviewid,artist,title,score,author
0,22061,brian eno,another green world,10.0,mike powell
1,13434,the beatles,revolver,10.0,scott plagenhoef
2,21092,van morrison,astral weeks,10.0,stephen thomas erlewine
3,21218,a tribe called quest,peoples instinctive travels and the paths of rhythm,10.0,kris ex
4,21158,john coltrane,a love supreme the complete masters,10.0,mark richardson
5,13449,the stone roses,the stone roses,10.0,amy granzin
6,14880,kanye west,my beautiful dark twisted fantasy,10.0,ryan dombal
7,13432,the beatles,the beatles,10.0,mark richardson
8,13431,the beatles,abbey road,10.0,mark richardson
9,14979,the dismemberment plan,emergency and i,10.0,paul thompson
10,1550,john coltrane,the olatunji concert the last live recording,10.0,luke buckman
11,13433,the beatles,rubber soul,10.0,scott plagenhoef
12,13435,the beatles,sgt peppers lonely hearts club band,10.0,scott plagenhoef
13,11376,otis redding,otis blue otis redding sings soul,10.0,nate patrin
14,13436,the beatles,magical mystery tour,10.0,scott plagenhoef
15,21478,david bowie,low,10.0,laura snapes
16,21487,david bowie,heroes,10.0,ryan dombal
17,909,glenn branca,the ascension,10.0,andy beta
18,13425,the beatles,stereo box,10.0,mark richardson
19,22174,stevie wonder,songs in the key of life,10.0,alan light
20,1969,various artists,no thanks the 70s punk rebellion,10.0,eric carr
21,16075,can,tago mago,10.0,douglas wolk
22,21548,michael jackson,off the wall,10.0,ryan dombal
23,13385,radiohead,kid a special collectors edition,10.0,rob mitchum
24,21220,the velvet underground,loaded re loaded 45th anniversary edition,10.0,stuart berman
25,6200,pavement,crooked rain crooked rain las desert origins,10.0,mark richardson
26,7728,bruce springsteen,born to run 30th anniversary edition,10.0,mark richardson
27,20015,the velvet underground,the velvet underground 45th anniversary super deluxe edition,10.0,stuart berman
28,14288,the cure,disintegration,10.0,nitsuh abebe
29,14264,the rolling stones,exile on main st,10.0,rob mitchum
30,699,bonnie prince billy,i see a darkness,10.0,samir khan
31,10326,sonic youth,daydream nation deluxe edition,10.0,nitsuh abebe
32,16857,gza,liquid swords chess box deluxe edition,10.0,ian cohen
33,20483,the rolling stones,sticky fingers,10.0,mark richardson
34,17064,william basinski,the disintegration loops,10.0,mark richardson
35,14002,pavement,quarantine the past,10.0,matthew perpetua
36,13984,spiritualized,ladies and gentlemen we are floating in space,10.0,grayson currin
37,17407,dangelo,voodoo,10.0,ryan dombal
38,22159,nina simone,in concert,10.0,carvell wallace
39,11624,joy division,unknown pleasures,10.0,joshua klein
40,17510,j dilla,donuts,10.0,nate patrin
41,6656,radiohead,kid a,10.0,brent dicrescenzo
42,22374,public image ltd,metal box,10.0,simon reynolds
43,17497,nas,illmatic,10.0,jeff weiss
44,19997,public enemy,it takes a nation of millions to hold us back,10.0,craig jenkins
45,22485,bob dylan,blood on the tracks,10.0,jesse jarnow
46,17499,fleetwood mac,rumours,10.0,jessica hopper
47,16605,my bloody valentine,isnt anything,10.0,mark richardson
48,11853,television,marquee moon,10.0,chris dahlen
49,1490,the clash,london calling 25th anniversary legacy edition,10.0,amanda petrusich
50,22053,neil young,tonights the night,10.0,mark richardson
51,19240,mobb deep,the infamous,10.0,jayson greene
52,12671,beastie boys,pauls boutique,10.0,nate patrin
53,2377,dj shadow,endtroducing,10.0,chris dahlen
54,15957,talk talk,laughing stock,10.0,jess harvell
55,21845,prince,sign o the times,10.0,nelson george
56,19182,slint,spiderland,10.0,stuart berman
57,838,boards of canada,music has the right to children,10.0,mark richardson
58,12852,serge gainsbourg,histoire de melody nelson,10.0,tom ewing
59,21866,prince,dirty mind,10.0,barry walters
60,21841,prince,purple rain,10.0,carvell wallace
61,16000,the beach boys,the smile sessions,10.0,mark richardson
62,178,and you will know us by the trail of dead,source tags and codes,10.0,matt lemay
63,18517,nirvana,in utero 20th anniversary edition,10.0,stuart berman
64,11866,wire,pink flag,10.0,joe tangari
65,21842,prince,1999,10.0,maura johnston
66,15854,nirvana,nevermind,10.0,jess harvell
67,21964,kate bush,hounds of love,10.0,barry walters
68,5758,neutral milk hotel,in the aeroplane over the sea,10.0,mark richardson
69,8676,wilco,yankee hotel foxtrot,10.0,brent s. sirota
70,976,james brown,live at the apollo,10.0,dominique leone
71,12464,rem,murmur,10.0,stephen m. deusner
72,6307,pink floyd,animals,10.0,james p. wisdom
73,13130,rem,reckoning,10.0,matt lemay
74,18770,the velvet underground,white light white heat,10.0,douglas wolk
75,1615,elvis costello and the attractions,this years model,10.0,matt lemay
76,10544,various artists,the complete motown singles vol 7 1967,9.9,joe tangari
77,3089,funkadelic,motor city madness the ultimate funkadelic compilation,9.8,dominique leone
78,11662,mission of burma,signals calls and marches,9.8,marc masters
79,1973,various artists,one kiss can lead to another,9.8,scott plagenhoef
80,5358,modest mouse,the moon and antarctica,9.8,brent dicrescenzo
81,1617,elvis costello,my aim is true,9.8,matt lemay
82,14737,morrissey,bona drag,9.8,scott plagenhoef
83,11845,t rex,the slider,9.8,stephen m. deusner
84,4929,luomo,vocalcity,9.7,philip sherburne
85,5569,ennio morricone,mondo morricone the trilogy,9.7,alex linhardt
86,5754,neu,neu,9.7,brent s. sirota
87,11791,nwa,straight outta compton,9.7,ray suzuki
88,12331,johnny cash,johnny cash at folsom prison legacy edition,9.7,stephen m. deusner
89,9404,rem,and i feel fine,9.7,stephen m. deusner
90,8383,ultramagnetic mcs,critical beatdown,9.7,alex linhardt
91,13422,the beatles,a hard days night,9.7,tom ewing
